GEOID,district
290019501001,54
290019501002,24
290019501003,24
290019502001,24
290019502002,24
290019502003,24
290019503001,24
290019503002,24
290019503003,24
290019503004,24
290019504001,24
290019504002,24
290019504003,24
290019505011,24
290019505012,24
290019505013,24
290019505021,24
290019505022,24
290019505023,24
290019509001,24
290019509002,24
290019509003,24
290019510001,24
290030101001,17
290030101002,39
290030101003,17
290030101004,17
290030102011,31
290030102012,31
290030102013,31
290030102021,31
290030102022,31
290030103001,31
290030103002,31
290030104001,31
290030104002,17
290030104003,17
290059501001,31
290059501002,31
290059501003,31
290059501004,31
290059502001,31
290059502002,31
290059502003,31
290079501001,52
290079501002,61
290079501003,61
290079502001,61
290079502002,52
290079502003,52
290079502004,52
290079502005,52
290079503001,61
290079503002,61
290079503003,102
290079504001,52
290079504002,52
290079504003,52
290079505001,61
290079505002,52
290079505003,52
290079505004,52
290079506001,61
290079506002,52
290079507001,52
290079507002,52
290079507003,52
290079507004,52
290099601011,126
290099601012,126
290099601021,126
290099601022,140
290099601023,126
290099602011,136
290099602012,140
290099602021,140
290099602022,140
290099603011,140
290099603012,140
290099603013,140
290099603014,140
290099603021,140
290099603022,140
290099604011,140
290099604012,140
290099604013,140
290099604021,140
290099604022,140
290099604023,140
290099605001,140
290099605002,140
290099605003,140
290099605004,140
290099605005,140
290099606001,140
290099606002,140
290119601001,155
290119601002,60
290119601003,60
290119602001,127
290119602002,155
290119602003,155
290119602004,155
290119603001,60
290119603002,60
290119603003,60
290119603004,60
290119603005,60
290130701001,123
290130701002,123
290130701003,123
290130702001,51
290130702002,51
290130702003,123
290130702004,123
290130703001,123
290130703002,123
290130703003,123
290130703004,123
290130704001,51
290130704002,51
290130704003,51
290154601001,32
290154601002,32
290154601003,32
290154602001,32
290154602002,32
290154603001,51
290154603002,51
290154603003,32
290154603004,51
290154604001,32
290154604002,32
290154604003,32
290154607011,51
290154607012,51
290154607021,51
290154608011,47
290154608012,51
290154608021,51
290154608022,51
290179501001,147
290179501002,77
290179501003,147
290179501004,96
290179502001,96
290179502002,147
290179502003,147
290179502004,96
290179503001,117
290179503002,147
290179503003,117
290190002001,102
290190002002,42
290190003001,42
290190003002,42
290190003003,42
290190005001,42
290190005002,42
290190005003,42
290190006001,43
290190006002,43
290190006003,43
290190006004,43
290190007001,43
290190007002,43
290190007003,43
290190009001,42
290190009002,43
290190010011,102
290190010012,102
290190010013,102
290190010014,65
290190010015,65
290190010031,65
290190010032,102
290190010041,65
290190010042,65
290190010043,102
290190011051,65
290190011052,43
290190011053,42
290190011054,65
290190011061,65
290190011062,65
290190011063,65
290190011064,65
290190011071,43
290190011072,65
290190011073,43
290190011081,43
290190011082,65
290190011083,43
290190011091,65
290190011092,65
290190011093,65
290190011094,65
290190011101,65
290190011102,65
290190011103,43
290190012011,43
290190012012,43
290190012013,43
290190012014,43
290190012021,43
290190012022,43
290190012023,43
290190012024,43
290190013001,43
290190013002,43
290190013003,50
290190014011,42
290190014012,102
290190014013,42
290190014021,42
290190014022,42
290190014023,42
290190014024,4
290190015031,102
290190015032,102
290190015033,102
290190015051,102
290190015052,102
290190015061,102
290190015062,102
290190015071,42
290190015072,42
290190015073,102
290190015081,102
290190015082,42
290190015083,42
290190015084,42
290190016021,65
290190016022,102
290190016023,65
290190016031,102
290190016032,65
290190016033,65
290190016041,102
290190016042,102
290190017021,50
290190017022,65
290190017023,50
290190017031,160
290190017032,160
290190017041,160
290190017042,50
290190018031,42
290190018032,4
290190018033,50
290190018061,50
290190018062,50
290190018063,50
290190018071,43
290190018072,50
290190019011,4
290190019012,4
290190019013,42
290190019031,102
290190019032,102
290190019033,102
290190019041,61
290190019042,102
290190019043,61
290190020001,61
290190020002,61
290190020003,61
290190020004,61
290190021001,43
290190021002,43
290190021003,43
290190022001,42
290190022002,42
290190022003,42
290190022004,42
290210001001,17
290210001002,17
290210001003,39
290210002001,39
290210002002,39
290210002003,39
290210003001,39
290210003002,39
290210004001,39
290210004002,39
290210005001,39
290210005002,39
290210005003,39
290210006001,39
290210006002,39
290210006003,39
290210007011,17
290210007012,17
290210007013,17
290210007014,17
290210007021,17
290210007022,17
290210007023,17
290210009001,39
290210009002,39
290210009003,39
290210009004,39
290210009005,39
290210010001,39
290210010002,39
290210010003,39
290210011001,39
290210011002,39
290210011003,39
290210012001,39
290210012002,14
290210015001,39
290210015002,39
290210015003,39
290210015004,39
290210015005,14
290210016001,39
290210016002,39
290210016003,39
290210017001,17
290210017002,17
290210018001,39
290210018002,17
290210018003,17
290210021001,14
290210021002,14
290210021003,14
290210022001,14
290210023001,14
290210023002,14
290210024001,14
290210024002,14
290210025001,14
290210025002,14
290210025003,14
290210027001,58
290210027002,17
290210028001,14
290210028002,14
290210028003,14
290210028004,14
290210028005,14
290210029001,14
290210029002,14
290210029003,14
290210030011,14
290210030012,14
290210030013,14
290210030021,14
290210030022,14
290239501011,146
290239501012,146
290239501021,147
290239501022,117
290239502011,146
290239502012,146
290239502013,146
290239502014,146
290239502021,125
290239502022,125
290239502023,125
290239502024,125
290239503011,146
290239503012,146
290239503013,146
290239503021,146
290239503022,146
290239503023,146
290239504001,146
290239504002,146
290239504003,146
290239504004,146
290239505001,91
290239505002,146
290239505003,91
290239506001,117
290239506002,146
290239506003,91
290239506004,91
290239507001,146
290239507002,146
290239507003,91
290239508001,146
290239508002,146
290239508003,146
290239509001,91
290239509002,91
290239509003,91
290239509004,91
290259501001,53
290259501002,53
290259501003,53
290259501004,53
290259502011,53
290259502012,53
290259502013,27
290259502021,53
290259502022,53
290259502023,53
290270701001,52
290270701002,65
290270701003,52
290270701004,52
290270702001,52
290270702002,160
290270702003,52
290270702004,52
290270703011,160
290270703012,160
290270703021,160
290270703022,160
290270703023,160
290270704001,160
290270704002,160
290270704003,160
290270704004,160
290270704005,160
290270705001,160
290270705002,160
290270705003,160
290270705004,65
290270706011,65
290270706012,160
290270706021,160
290270706022,160
290270706023,160
290270707011,160
290270707021,2
290270707022,2
290270708001,160
290270708002,2
290270708003,2
290299501011,32
290299501021,32
290299502011,47
290299502012,47
290299502013,47
290299502021,32
290299502022,32
290299502023,32
290299503011,47
290299503012,47
290299503021,47
290299504011,47
290299504021,47
290299504022,47
290299505001,47
290299505002,47
290299505003,47
290299506001,47
290299506002,47
290299506003,32
290299506004,32
290299507011,47
290299507012,47
290299507013,47
290299507014,47
290299507021,32
290299508011,47
290299508012,47
290299508013,47
290299508021,47
290299508022,47
290299508023,47
290299509001,47
290299509002,62
290299511011,32
290299511021,32
290299511022,32
290299512011,32
290299512012,47
290299512021,32
290318801001,96
290318801002,96
290318801003,96
290318801004,96
290318801005,113
290318802001,96
290318802002,150
290318802003,96
290318803001,150
290318803002,150
290318803003,144
290318803004,96
290318804011,150
290318804012,150
290318804013,150
290318804021,150
290318804022,150
290318805011,150
290318805012,150
290318805013,150
290318805021,150
290318805022,150
290318805023,150
290318806001,113
290318806002,113
290318806003,113
290318806004,96
290318806005,96
290318807001,113
290318807002,113
290318807003,113
290318808001,113
290318808002,113
290318808003,113
290318809001,113
290318809002,113
290318810001,113
290318810002,113
290318811001,113
290318811002,150
290318811003,113
290318812001,113
290318812002,113
290318812003,113
290318812004,113
290318812005,113
290318813011,150
290318813012,150
290318813021,150
290318813022,150
290318814001,113
290318814002,113
290318814003,113
290318815001,150
290318815002,144
290318815003,150
290318815004,113
290318816001,113
290318816002,113
290339601001,45
290339601002,45
290339601003,53
290339602001,53
290339602002,53
290339602003,53
290339602004,53
290339603001,53
290339603002,53
290339603003,53
290339603004,53
290359601001,146
290359601002,146
290359601003,146
290359602001,124
290359602002,146
290359602003,125
290370600011,33
290370600012,33
290370600013,33
290370600031,33
290370600032,33
290370600033,33
290370600041,33
290370600042,33
290370600043,33
290370600044,37
290370600045,33
290370601001,33
290370601002,33
290370601003,33
290370602021,37
290370602022,37
290370602023,33
290370602024,33
290370603051,33
290370603052,37
290370603053,37
290370603061,37
290370603062,33
290370603063,33
290370603064,37
290370603065,37
290370603071,37
290370603072,37
290370603073,37
290370603081,37
290370603082,37
290370603091,37
290370603092,48
290370603093,48
290370604011,56
290370604012,48
290370604021,48
290370604022,48
290370605001,48
290370605002,48
290370606011,48
290370606012,48
290370606013,48
290370606021,48
290370606022,48
290370606023,48
290370607001,123
290370607002,123
290370607003,48
290370608001,123
290370608002,48
290370608003,123
290370608004,123
290370609041,48
290370609042,48
290370609043,48
290370610011,37
290370610012,37
290370610013,37
290370610021,37
290370610022,123
290370610023,37
290370610024,37
290370610025,37
290370610026,37
290370611001,123
290370611002,123
290370611003,37
290370611004,37
290370612001,123
290370612002,123
290370612003,123
290370612004,123
290370613001,33
290370613002,33
290370613003,37
290370613004,37
290370613005,37
290370613006,33
290370614001,48
290370614002,123
290370614003,123
290370614004,123
290398701011,155
290398701012,155
290398701021,155
290398701022,155
290398701023,155
290398702001,155
290398702002,51
290398702003,51
290398702004,155
290398702005,155
290398703001,155
290398703002,155
290398703003,155
290398703004,155
290414701001,5
290414701002,45
290414702001,45
290414702002,45
290414702003,45
290414703001,45
290414703002,45
290414703003,45
290414703004,45
290430201011,59
290430201012,59
290430201021,134
290430201022,134
290430201023,134
290430201024,126
290430202011,142
290430202012,126
290430202021,44
290430202022,142
290430202023,44
290430202024,44
290430202041,44
290430202042,44
290430202043,44
290430202051,126
290430202052,126
290430202053,126
290430202061,44
290430202062,44
290430202071,44
290430202072,44
290430203021,44
290430203022,128
290430203023,128
290430203024,128
290430203031,128
290430203032,128
290430203033,128
290430203034,128
290430203041,128
290430203042,128
290430203071,44
290430203072,44
290430203081,128
290430203082,128
290430203091,128
290430203101,44
290430203102,44
290430203103,44
290430203104,128
290430204011,44
290430204012,133
290430204021,133
290430204022,128
290430204023,128
290430205011,126
290430205012,126
